0,1,1,1103,88,1139,178
1,1,1,477,162,515,256
2,1,1,1074,421,1139,558
3,1,1,176,540,243,714
4,1,1,587,55,624,137
5,1,1,587,276,650,384
6,1,1,1059,632,1152,714
7,1,1,974,29,1019,115
8,1,1,524,172,567,270
9,1,1,194,209,239,305
10,1,1,1207,131,1235,227
11,1,1,650,5,691,72
12,1,1,4,194,53,286
0,2,1,1103,88,1137,178
1,2,1,477,162,518,256
2,2,1,1074,425,1139,558
3,2,1,166,542,229,714
4,2,1,587,55,622,135
5,2,1,587,276,650,383
6,2,1,1064,634,1150,714
7,2,1,974,29,1015,115
8,2,1,530,168,569,270
9,2,1,194,186,225,307
10,2,1,1213,131,1231,227
11,2,1,655,4,689,74
12,2,1,4,192,53,288
0,3,1,1103,88,1137,178
1,3,1,481,162,522,256
2,3,1,1072,427,1141,558
3,3,1,162,548,221,714
4,3,1,595,55,618,133
5,3,1,585,276,657,395
6,3,1,1068,636,1151,714
7,3,1,976,27,1019,115
8,3,1,536,168,569,270
9,3,1,194,176,241,311
10,3,1,1209,131,1242,227
11,3,1,655,4,685,74
12,3,1,4,192,53,288
0,4,1,1103,88,1137,176
1,4,1,483,160,524,256
2,4,1,1072,428,1141,558
3,4,1,158,554,213,714
4,4,1,591,55,620,133
5,4,1,585,280,644,399
6,4,1,1068,646,1137,714
7,4,1,976,26,1019,115
8,4,1,538,166,569,270
9,4,1,180,213,227,315
10,4,1,1211,131,1242,231
11,4,1,657,4,685,72
12,4,1,4,190,53,288
13,4,1,211,172,241,266
0,5,1,1103,86,1137,176
1,5,1,489,158,524,256
2,5,1,1072,429,1143,560
3,5,1,151,556,209,714
4,5,1,591,55,622,135
5,5,1,577,284,634,401
6,5,1,1070,646,1133,714
7,5,1,978,25,1017,115
8,5,1,540,166,571,268
9,5,1,192,172,241,317
10,5,1,1211,131,1244,233
11,5,1,659,4,683,70
12,5,1,4,192,53,288
13,5,1,1103,88,1137,176
0,6,1,1103,86,1135,176
1,6,1,491,156,526,254
2,6,1,1074,430,1143,567
3,6,1,147,562,209,714
4,6,1,593,55,628,137
5,6,1,573,288,642,409
6,6,1,1101,84,1135,174
7,6,1,978,25,1019,115
8,6,1,540,166,575,270
9,6,1,178,217,225,319
10,6,1,1211,131,1244,235
11,6,1,661,4,687,68
12,6,1,5,190,53,288
13,6,1,209,166,245,260
0,7,1,1103,86,1135,172
1,7,1,491,155,526,256
2,7,1,1074,431,1145,571
3,7,1,147,569,207,714
4,7,1,599,53,628,135
5,7,1,571,289,632,411
6,7,1,1101,84,1133,174
7,7,1,978,25,1019,113
8,7,1,540,166,583,268
9,7,1,174,217,223,319
10,7,1,1211,131,1246,239
11,7,1,659,5,691,68
12,7,1,5,192,53,288
13,7,1,211,170,243,264
0,8,1,1103,86,1135,166
1,8,1,493,157,528,256
2,8,1,1074,434,1145,581
